-Sample teams
Offence,,,,,
magearna,mawile,tapu-lele,greninja,landorus-therian,kartana
medicham,landorus-therian,magearna,volcarona,rotom-wash,kartana
scizor,kyurem-black,tapu-fini,weavile,heatran,landorus-therian
lopunny,kartana,tapu-fini,jirachi,zapdos,garchomp
lopunny,hoopa-unbound,landorus-therian,tapu-fini,magearna,victini
gyarados,magearna,kartana,landorus-therian,greninja,victini
landorus-therian,diancie,ferrothorn,dragonite,tapu-fini,victini
pinsir,serperior,tapu-fini,magnezone,jirachi,landorus-therian
,,,,,
Hyper Offence,,,,,
alakazam,tapu-lele,kommo-o,kartana,magearna,landorus-therian
charizard,serperior,volcarona,kommo-o,magearna,mew
landorus-therian,magearna,medicham,tapu-koko,kyurem-black,hawlucha
diancie,kyurem-black,thundurus-therian,volcarona,tapu-lele,kartana
,,,,,
Weather,,,,,
swampert,pelipper,manaphy,ferrothorn,tornadus-therian,greninja
kartana,charizard,tapu-fini,heatran,landorus-therian,weavile
tyranitar,kartana,zapdos,excadrill,toxapex,celesteela
tyranitar,toxapex,excadrill,celesteela,greninja,clefable
,,,,,
Balance,,,,,
greninja,heatran,ferrothorn,latias,gliscor,clefable
charizard,tapu-koko,ferrothorn,gliscor,chansey,slowbro
charizard,seismitoad,magearna,cresselia,tornadus-therian,ditto
latias,ferrothorn,gliscor,toxapex,celesteela,ditto
latias,clefable,slowbro,excadrill,toxapex,magearna
chansey,gliscor,magearna,slowbro,tornadus-therian,toxapex
,,,,,
OLD
2024 Samples,,,,,
mawile,landorus-therian,greninja,magearna,kartana,tapu-lele
mawile,garchomp,victini,ferrothorn,landorus-therian,greninja
landorus-therian,medicham,kyurem-black,magearna,hawlucha,tapu-koko
kartana,alakazam,tapu-lele,magearna,landorus-therian,rotom-wash
tyranitar,manaphy,serperior,landorus-therian,tapu-koko,magearna
swampert,pelipper,manaphy,ferrothorn,tornadus-therian,greninja-ash
latias,tornadus-therian,toxapex,clefable,gliscor,heatran
latias,gastrodon,heatran,skarmory,clefable,reuniclus
latias,chansey,weavile,magnezone,gliscor,toxapex
kommo-o,toxapex,ferrothorn,gliscor,tornadus-therian,latias
latias,greninja,landorus-therian,clefable,ferrothorn,heatran
mawile,gliscor,chansey,magnezone,slowbro,kartana
,,,,,
,,,,,
pre 2024 Samples,,,,,
landorus-therian,magearna,tapu-bulu,tornadus-therian,rotom-wash,kartana
charizard,tapu-fini,kartana,heatran,landorus-therian,weavile
landorus-therian,tapu-koko,hawlucha,magearna,medicham,kyurem-black
mawile,rotom-wash,tornadus-therian,magearna,kommo-o,landorus-therian
lopunny,skarmory,reuniclus,chansey,gliscor,toxapex
gliscor,lopunny,magearna,tangrowth,tornadus-therian,toxapex
reuniclus,clefable,gastrodon-east,magnezone,latios,skarmory
aggron,clefable,gastrodon,slowbro,tornadus-therian,tyranitar
